null|Blair International School|Brukshabad Post Box 474 Janglighat Port Blair|N/A|AN|744107|null|Mr. M.Madhuj|03192 261446|Principal|blairinternationalschool@gmail.com|Asia/Kolkata|IN
null|Carmel Sec School|Phoenix Bay Haddo Post Port Blair A & N Islands|N/A|AN|744102|null|Sister M Realina A C|03192 30411|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Swarajgram Post Diglipur North Andaman A & N Islands|N/A|AN|744202|null|A K Mukhopadhyay|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Shibpur Aerial Bay P.O North Andaman A & N Islands|N/A|AN|744202|null|Dasarath Mistry|03192 84351|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Senior Secondary School|Kishori Nagar North Andaman A & N Islands|N/A|AN|744202|null|Motilal Howladar|03192 282618|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Boys Sr Sec School|Middle Point Port Blair A & N Islands|N/A|AN|744101|null|V N P Shahi|03192 32275|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Girls Sr Sec School|Port Blair A & N Islands 744104|N/A|AN|744104|null|Sneh Lata Verma|03192 32344|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Model Senior Secondary School|Ferrargunj P.O.Beachdera South Andaman A & N Islands|N/A|AN|744101|null|Mrs Anjulata Verma|03192 83980|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Model Sr Sec School|P.O. Aberdeen Bazaar Port Blair A & N Islands|N/A|AN|744101|null|Dr. B. M. Bhatt|03192 232589|Principal|gsssmodel@gmail.com|Asia/Kolkata|IN
null|Govt Rabindra Bangla Vidyalaya|Port Blair A & N Islands 744101|N/A|AN|744101|null|Nitin Banerjee|03192 33410|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sec School|Bengali Teressa Island Via Aberdeen Bazar Port Blair A & N Islands|N/A|AN|744104|null|N Nathamiel|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sec School|Namunaghar South Andaman A&N Island|N/A|AN|744206|null|Ram Nayan Ram|03192 50041|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sec School|Delanipur Haddo Po Port Blair A & N Islands|N/A|AN|744102|null|M G Poonacher|03192 50041|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sec School|Shoal Bay-12 South Andeman A & N Islands|N/A|AN|744206|null|O P Sharma|03192 50041|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sec School|Uttara Kadamtala Middle Andeman|N/A|AN|744209|null|Smt Asha Kumari|03192 50041|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Sec School|Subhashgram Diglipur North Andaman A & N Islands|N/A|AN|744206|null|Mr. Rita Rani Biswas|03192 2751598|Principal|gsssubashgram2@yahoo.co.in|Asia/Kolkata|IN
null|Govt Sec School (Tamil & English)|Haddo Post Port Blair A & N Islands|N/A|AN|744102|null|Jawahar Lal Maurya(H.M)|03192 32286|Principal|hmgss_htem10@rediffmail.com|Asia/Kolkata|IN
null|Govt Secondary School|Kaushalya Nagar Rangat Middle Andaman|N/A|AN|744205|null|Mrs Rani Singh|03192 74329|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Webi Mayabunder P.O North Andaman A & N Islands|N/A|AN|744204|null|Mr. Shri Jitendra Gupta|03192 276662|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Westbay Katchal Katchal Islands Andaman & Nicobar Islands|N/A|AN|744304|null|Sh Ali|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Mus Car-Nicobar A & N Islands|N/A|AN|744301|null|Sh C Apolus|03193 67223|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Dairy Farm P.O Junglighat Port Blair A & N Islands|N/A|AN|744103|null|Mr Manoranjan Ghosh|03192 35639|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Village Manpur P.O.Tushnabad South Andaman A & N Islands|N/A|AN|744103|null|Mr P K Chattopadhyaya|03192 282618|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Chainpur P.O Pudumadurai Mayabunder Via Middle Andaman A & N Islands|N/A|AN|744204|null|D Souraj|03192 73362|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Harmander Bay Little Andaman A & N Islands|N/A|AN|744207|null|R P Baghel|03192 282618|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Adazig (Po) Oralkatcha Baratang Island South Andaman A & N Islands|N/A|AN|744210|null|Mr A Ummar|08301 43326|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Kakana Car Nicobar A & N Islands|N/A|AN|744301|null|Bendinus|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Ram Nagar Post Digilipur Via North Andaman A & N Islands|N/A|AN|744202|null|K Kamala Devi|03192 282618|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Miletilak Via Wimberlygunj South Andaman A & N Islands|N/A|AN|744206|null|Mr. Mrn.K.Tyagi|03192 281576|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Nimbutala (Vill & Po) Middle Andaman A & N Islands|N/A|AN|744205|null|Mr Shyam Prasad Mandal|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Shivapuram Village Betapur Post Middle Andaman A & N Islands|N/A|AN|744201|null|Mehtab Singh|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Vivekanandapur Via Hutbay Little Andaman A & N Islands|N/A|AN|744207|null|Ashutosh Mahanta|null|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Manglutan P.O|N/A|AN|N/A|null|Ms Jayati Datta|07297 234522|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Govindapur P O Nimbudera Via-Betapur Middle Andaman A & N Islands|N/A|AN|744201|null|Sh B N Mandal|03192 89026|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Gandhi Nagar Campbell Bay Great Nicobar A & N Islands|N/A|AN|744302|null|S Raveendran|03192 282618|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Durgapur Diglipur North Andaman Andaman & Nicobar Island|N/A|AN|744206|null|S K Ganguly|03192 272526|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Secondary School|Arong Andaman & Nicobar Island|N/A|AN|744202|null|C. A. Polus|03193 265037|Principal|aronggss@gmail.com|Asia/Kolkata|IN
null|Govt Senior Secondary School|Oralkatcha Baratang Island Middle Andaman A & N Islands|N/A|AN|744210|null|Amjad Hussain|03192 77064|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
null|Govt Senior Secondary School|Mannarghat Wimberlygunj P.O South Andaman A & N Islands|N/A|AN|744206|null|Rajender Nath Prasad|03192 55937|Principal|rnr@andaman.tn.nic.in|Asia/Kolkata|IN
